name,value,B2C,B2B,B2S
Gold,24KT,6100,5925,5925
Gold,22KT-(92%),5615,5450,5450
Gold,18KT-(76%),4635,4505,4505
Gold,14KT-(59.5%),3630,3525,3525
Platinum,92.5,6000,6000,6000
Metal Tone,Yellow,,,
Metal Tone,White,,,
Metal Tone,Rose,,,
Silver,99.9,75,75,75
Silver,92.5,75,75,75
Precious Stones,Neelam (Blue Sapphire),,,
Precious Stones,Moti (Pearl),,,
Precious Stones,Panna (Emerald),,,
Precious Stones,Pukhraj (Yellow Sapphire),,,
Precious Stones,Manik (Ruby),,,
Precious Stones,Color Stone,,,
Precious Stones,Mina,,,
Diamond,DRD VVS-EF (000-2),50952,50952,50952
Diamond,DRD VVS-EF (+2-8),46667,46667,46667
Diamond,DRD VVS-EF (+8-11),50952,50952,50952
Diamond,DRD VVS-EF,,,
Diamond,DRD VVS-VS-EF (000-2),101000,50500,50500
Diamond,DRD VVS-VS-EF (+2-8)),92000,46000,46000
Diamond,DRD VVS-VS-EF (+8-11),101000,50500,50500
Diamond,DRD VVS-VS-EF,,,
Diamond,DRD VS-GH (000-2),75000,37500,37500
Diamond,DRD VS-GH (+2-8),68000,34000,34000
Diamond,DRD VS-GH (+8-11),75000,37500,37500
Diamond,DRD VS-GH,,,
Diamond,DRD VS-SI-GH (000-2),71000,35500,35500
Diamond,DRD VS-SI-GH (+2-8)),65000,32500,32500
Diamond,DRD VS-SI-GH (+8-11),71000,35500,35500
Diamond,DRD VS-SI-GH,,,
Diamond,DRD SI-HI (000-2),53000,26500,26500
Diamond,DRD SI-HI (+2-8)),49000,24500,24500
Diamond,DRD SI-HI (+8-11),53000,26500,26500
Diamond,DRD SI-HI,,,
Diamond,DRD SI-IJ (000-2),47000,23500,23500
Diamond,DRD SI-IJ (+2-8)),42000,21000,21000
Diamond,DRD SI-IJ (+8-11),47000,23500,23500
Diamond,DRD SI-IJ,,,
Diamond,FANCY VVS-EF,,,
Diamond,FANCY VVS-VS-EF,,,
Diamond,FANCY VS-GH,,,
Diamond,FANCY VS-SI-GH,,,
Diamond,FANCY SI-HI,,,
Diamond,FANCY SI-IJ,,,
Diamond,POLKI VVS-VS-EF,15000,15000,15000
Diamond,POLKI VS-SI-GH,15000,15000,15000
Diamond,POLKI VS-SI-HI,15000,15000,15000
Solitaire,SOLITAIRE,,,
